+----------------------+------+--------+-------+--------------+
|      series id       | year | period | value |  footnotes   |
+----------------------+------+--------+-------+--------------+
| LAUST080000000000003 | 2014 |  M11   |  4.0  | Preliminary. |
| LAUST080000000000003 | 2014 |  M10   |  3.7  |              |
| LAUST080000000000003 | 2014 |  M09   |  4.0  |              |
| LAUST080000000000003 | 2014 |  M08   |  4.8  |              |
| LAUST080000000000003 | 2014 |  M07   |  5.3  |              |
| LAUST080000000000003 | 2014 |  M06   |  5.4  |              |
| LAUST080000000000003 | 2014 |  M05   |  5.5  |              |
| LAUST080000000000003 | 2014 |  M04   |  5.6  |              |
| LAUST080000000000003 | 2014 |  M03   |  6.6  |              |
| LAUST080000000000003 | 2014 |  M02   |  6.7  |              |
| LAUST080000000000003 | 2014 |  M01   |  6.6  |              |
| LAUST080000000000003 | 2013 |  M12   |  5.9  |              |
| LAUST080000000000003 | 2013 |  M11   |  6.1  |              |
| LAUST080000000000003 | 2013 |  M10   |  6.3  |              |
| LAUST080000000000003 | 2013 |  M09   |  6.3  |              |
| LAUST080000000000003 | 2013 |  M08   |  6.5  |              |
| LAUST080000000000003 | 2013 |  M07   |  6.9  |              |
| LAUST080000000000003 | 2013 |  M06   |  7.3  |              |
| LAUST080000000000003 | 2013 |  M05   |  6.7  |              |
| LAUST080000000000003 | 2013 |  M04   |  6.6  |              |
| LAUST080000000000003 | 2013 |  M03   |  7.2  |              |
| LAUST080000000000003 | 2013 |  M02   |  7.6  |              |
| LAUST080000000000003 | 2013 |  M01   |  7.9  |              |
| LAUST080000000000003 | 2012 |  M12   |  7.3  |              |
| LAUST080000000000003 | 2012 |  M11   |  7.0  |              |
| LAUST080000000000003 | 2012 |  M10   |  7.1  |              |
| LAUST080000000000003 | 2012 |  M09   |  7.2  |              |
| LAUST080000000000003 | 2012 |  M08   |  7.7  |              |
| LAUST080000000000003 | 2012 |  M07   |  8.1  |              |
| LAUST080000000000003 | 2012 |  M06   |  8.3  |              |
| LAUST080000000000003 | 2012 |  M05   |  7.8  |              |
| LAUST080000000000003 | 2012 |  M04   |  7.9  |              |
| LAUST080000000000003 | 2012 |  M03   |  8.5  |              |
| LAUST080000000000003 | 2012 |  M02   |  8.6  |              |
| LAUST080000000000003 | 2012 |  M01   |  8.7  |              |
| LAUST080000000000003 | 2011 |  M12   |  8.2  |              |
| LAUST080000000000003 | 2011 |  M11   |  8.0  |              |
| LAUST080000000000003 | 2011 |  M10   |  8.1  |              |
| LAUST080000000000003 | 2011 |  M09   |  8.2  |              |
| LAUST080000000000003 | 2011 |  M08   |  8.4  |              |
| LAUST080000000000003 | 2011 |  M07   |  8.5  |              |
| LAUST080000000000003 | 2011 |  M06   |  8.7  |              |
| LAUST080000000000003 | 2011 |  M05   |  8.6  |              |
| LAUST080000000000003 | 2011 |  M04   |  8.3  |              |
| LAUST080000000000003 | 2011 |  M03   |  8.9  |              |
| LAUST080000000000003 | 2011 |  M02   |  9.1  |              |
| LAUST080000000000003 | 2011 |  M01   |  9.3  |              |
| LAUST080000000000003 | 2010 |  M12   |  8.9  |              |
| LAUST080000000000003 | 2010 |  M11   |  9.0  |              |
| LAUST080000000000003 | 2010 |  M10   |  8.6  |              |
| LAUST080000000000003 | 2010 |  M09   |  8.6  |              |
| LAUST080000000000003 | 2010 |  M08   |  8.8  |              |
| LAUST080000000000003 | 2010 |  M07   |  8.9  |              |
| LAUST080000000000003 | 2010 |  M06   |  9.0  |              |
| LAUST080000000000003 | 2010 |  M05   |  8.6  |              |
| LAUST080000000000003 | 2010 |  M04   |  8.9  |              |
| LAUST080000000000003 | 2010 |  M03   |  9.6  |              |
| LAUST080000000000003 | 2010 |  M02   |  9.4  |              |
| LAUST080000000000003 | 2010 |  M01   |  9.4  |              |
| LAUST080000000000003 | 2009 |  M12   |  8.6  |              |
| LAUST080000000000003 | 2009 |  M11   |  8.0  |              |
| LAUST080000000000003 | 2009 |  M10   |  7.9  |              |
| LAUST080000000000003 | 2009 |  M09   |  7.9  |              |
| LAUST080000000000003 | 2009 |  M08   |  8.1  |              |
| LAUST080000000000003 | 2009 |  M07   |  8.5  |              |
| LAUST080000000000003 | 2009 |  M06   |  8.8  |              |
| LAUST080000000000003 | 2009 |  M05   |  8.3  |              |
| LAUST080000000000003 | 2009 |  M04   |  8.1  |              |
| LAUST080000000000003 | 2009 |  M03   |  8.2  |              |
| LAUST080000000000003 | 2009 |  M02   |  7.8  |              |
| LAUST080000000000003 | 2009 |  M01   |  7.2  |              |
| LAUST080000000000003 | 2008 |  M12   |  5.8  |              |
| LAUST080000000000003 | 2008 |  M11   |  5.3  |              |
| LAUST080000000000003 | 2008 |  M10   |  5.0  |              |
| LAUST080000000000003 | 2008 |  M09   |  4.7  |              |
| LAUST080000000000003 | 2008 |  M08   |  4.8  |              |
| LAUST080000000000003 | 2008 |  M07   |  4.9  |              |
| LAUST080000000000003 | 2008 |  M06   |  4.8  |              |
| LAUST080000000000003 | 2008 |  M05   |  4.4  |              |
| LAUST080000000000003 | 2008 |  M04   |  4.2  |              |
| LAUST080000000000003 | 2008 |  M03   |  4.7  |              |
| LAUST080000000000003 | 2008 |  M02   |  4.5  |              |
| LAUST080000000000003 | 2008 |  M01   |  4.6  |              |
| LAUST080000000000003 | 2007 |  M12   |  4.0  |              |
| LAUST080000000000003 | 2007 |  M11   |  3.8  |              |
| LAUST080000000000003 | 2007 |  M10   |  3.6  |              |
| LAUST080000000000003 | 2007 |  M09   |  3.8  |              |
| LAUST080000000000003 | 2007 |  M08   |  3.7  |              |
| LAUST080000000000003 | 2007 |  M07   |  3.9  |              |
| LAUST080000000000003 | 2007 |  M06   |  3.9  |              |
| LAUST080000000000003 | 2007 |  M05   |  3.3  |              |
| LAUST080000000000003 | 2007 |  M04   |  3.4  |              |
| LAUST080000000000003 | 2007 |  M03   |  3.7  |              |
| LAUST080000000000003 | 2007 |  M02   |  4.0  |              |
| LAUST080000000000003 | 2007 |  M01   |  4.3  |              |
+----------------------+------+--------+-------+--------------+
